zip,lat,lon
10001,40.7506,-74.0001
10002,40.7156,-73.9873
10003,40.7310,-73.9892
10010,40.7390,-73.9810
10016,40.7452,-73.9780
10019,40.7656,-73.9863
10021,40.7687,-73.9588
10024,40.7855,-73.9742
10028,40.7767,-73.9586
10036,40.7598,-73.9910
90001,33.9731,-118.2479
90012,34.0639,-118.2384
90024,34.0633,-118.4429
90036,34.0697,-118.3552
90048,34.0736,-118.3714
90210,34.0901,-118.4105
90272,34.0475,-118.5265
90401,34.0195,-118.4912
60601,41.8853,-87.6225
60606,41.8819,-87.6368
60611,41.8947,-87.6247
60614,41.9236,-87.6533
60618,41.9474,-87.7037
60622,41.9081,-87.6772
60637,41.7936,-87.5960
60657,41.9397,-87.6528
77001,29.7604,-95.3698
77002,29.7604,-95.3698
77004,29.7297,-95.4036
77005,29.7191,-95.4282
77019,29.7544,-95.4261
77025,29.6924,-95.4622
77030,29.7074,-95.3979
77054,29.6900,-95.3900
85001,33.4484,-112.0740
85004,33.4484,-112.0740
85008,33.4650,-112.0800
85014,33.5000,-112.0700
85016,33.5100,-112.1200
85020,33.5500,-112.0400
85032,33.6300,-112.0000
85048,33.5000,-112.0300
19102,39.9526,-75.1652
19103,39.9526,-75.1652
19104,39.9526,-75.1999
19106,39.9479,-75.1450
19107,39.9526,-75.1652
19111,40.0579,-75.0820
19120,40.0324,-75.1219
19130,39.9676,-75.1742
78201,29.4241,-98.4936
78204,29.4241,-98.4936
78207,29.4484,-98.5295
78210,29.3962,-98.5217
78215,29.4620,-98.4730
78229,29.5120,-98.5770
78240,29.5400,-98.5500
92101,32.7157,-117.1611
92103,32.7490,-117.1700
92109,32.7930,-117.2540
92120,32.8300,-117.2000
92130,32.9500,-117.2100
92154,32.5560,-117.0500
75201,32.7767,-96.7970
75204,32.8100,-96.8000
75206,32.8500,-96.7700
75214,32.8400,-96.8000
75219,32.8100,-96.8000
75226,32.7700,-96.7800
75235,32.8700,-96.8700
75240,32.9300,-96.7700
75248,32.9800,-96.7600
94102,37.7814,-122.4100
94103,37.7726,-122.4090
94107,37.7699,-122.3870
94108,37.7923,-122.4080
94110,37.7599,-122.4150
94112,37.7200,-122.4500
94114,37.7600,-122.4350
94115,37.7850,-122.4330
94118,37.7820,-122.4630
94122,37.7590,-122.5080
94131,37.7500,-122.4470
94133,37.8050,-122.4100
02101,42.3584,-71.0598
02108,42.3584,-71.0598
02110,42.3584,-71.0540
02113,42.3650,-71.0700
02115,42.3420,-71.0850
02116,42.3510,-71.0760
02118,42.3410,-71.0710
02120,42.3120,-71.1110
02127,42.3380,-71.0500
02134,42.3530,-71.1390
02215,42.3370,-71.1050
98101,47.6101,-122.3421
98103,47.6506,-122.3470
98105,47.6600,-122.3280
98107,47.6670,-122.3760
98109,47.6270,-122.3400
98112,47.6340,-122.3200
98115,47.6820,-122.3080
98122,47.6100,-122.3080
80202,39.7392,-104.9903
80204,39.7300,-105.0300
80206,39.7300,-104.9500
80209,39.7000,-104.9500
80210,39.6800,-104.9500
80218,39.7400,-104.9600
80220,39.7300,-104.9400
80238,39.8000,-104.8600
30301,33.7490,-84.3880
30303,33.7490,-84.3880
30305,33.8400,-84.3800
30308,33.7730,-84.3870
30309,33.7800,-84.3870
30312,33.7440,-84.3700
30318,33.7900,-84.5000
30322,33.8400,-84.3700
30324,33.8200,-84.3600
33101,25.7743,-80.1937
33125,25.7743,-80.2100
33127,25.8100,-80.2000
33130,25.7700,-80.1900
33133,25.7300,-80.2400
33136,25.7870,-80.2050
33139,25.7840,-80.1370
33142,25.8130,-80.2100
55401,44.9778,-93.2650
55403,44.9630,-93.2820
55404,44.9630,-93.2680
55405,44.9760,-93.2900
55408,44.9750,-93.2790
55414,44.9730,-93.2360
55416,44.9480,-93.3300
55455,44.9730,-93.2270
21201,39.2904,-76.6122
21202,39.2904,-76.6122
21205,39.2990,-76.5790
21209,39.3610,-76.6380
21211,39.3310,-76.6230
21213,39.3080,-76.5750
21218,39.3280,-76.5980
21224,39.2870,-76.5550
21231,39.2830,-76.5880
37201,36.1622,-86.7744
37203,36.1500,-86.7900
37206,36.1750,-86.7450
37208,36.1670,-86.7850
37209,36.1450,-86.8100
37212,36.1350,-86.7850
37215,36.1050,-86.8450
37232,36.0500,-86.7800
44101,41.4993,-81.6944
44103,41.5200,-81.6400
44106,41.5050,-81.6150
44113,41.4800,-81.6950
44114,41.5020,-81.6780
44115,41.4970,-81.6850
44120,41.4700,-81.5650
44195,41.4993,-81.6944
